City,Sub_Area,Property_Type,Land_Type,BHK,Year_Listed,Price
Anantapur,Gooty Road,Land,Industrial,0,2016,13869000.0
Vijayawada,Enikepadu,Land,Agricultural,0,2017,8297000.0
Vizianagaram,Bondapalli,Residency,Residential,4,2019,25541000.0
Anantapur,Bukkarayasamudram,Land,Industrial,0,2018,14833000.0
Kurnool,Nandyal Road,Land,Residential,0,2021,14132000.0
Vizianagaram,Bondapalli,Land,Commercial,0,2017,14936000.0
Eluru,Ashok Nagar,Residency,Residential,3,2023,26920000.0
Anantapur,Sai Nagar,Residency,Residential,4,2021,28475000.0
Nellore,Vedayapalem,Land,Residential,0,2017,8784000.0
Srikakulam,Palakonda Road,Land,Industrial,0,2017,16814000.0
Eluru,Tangellamudi,Land,Agricultural,0,2022,11065000.0
Rajahmundry,Hukumpeta,Land,Industrial,0,2016,18472000.0
Rajahmundry,Diwancheruvu,Residency,Residential,3,2024,30060000.0
Ongole,Lawyerpet,Land,Commercial,0,2019,10779000.0
Chittoor,Irala,Residency,Residential,5,2018,15589000.0
Anantapur,Sai Nagar,Residency,Residential,4,2022,29760000.0
Eluru,Powerpet,Land,Agricultural,0,2020,6838000.0
Kakinada,NFCL Road,Residency,Residential,5,2015,29504000.0
Chittoor,Bangarupalem,Land,Agricultural,0,2024,4784000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,5,2015,32686000.0
Tirupati,Bairagipatteda,Land,Agricultural,0,2022,11115000.0
Tirupati,Chandragiri,Land,Commercial,0,2020,27553000.0
Vizianagaram,Gajularega,Residency,Residential,1,2024,13298000.0
Kakinada,NFCL Road,Residency,Residential,1,2024,18121000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,1,2024,7435000.0
Guntur,Gorantla,Land,Residential,0,2019,6658000.0
Kurnool,Abbas Nagar,Land,Commercial,0,2018,22447000.0
Ongole,Santhapet,Land,Residential,0,2015,5502000.0
Tirupati,Tiruchanoor Road,Residency,Residential,2,2019,19746000.0
Kakinada,Bhanugudi,Residency,Residential,4,2024,26833000.0
Nellore,VRC Centre,Residency,Residential,1,2023,15280000.0
Kadapa,Chinna Chowk,Land,Agricultural,0,2023,4694000.0
Chittoor,Chittoor City,Residency,Residential,1,2023,7413000.0
Kakinada,Indrapalem,Land,Residential,0,2017,10769000.0
Srikakulam,Day and Night Junction,Land,Commercial,0,2017,17753000.0
Nellore,Podalakur Road,Land,Commercial,0,2022,19082000.0
Visakhapatnam,Anakapalle,Residency,Residential,5,2024,19799000.0
Nellore,Atmakur Bus Stand,Land,Commercial,0,2022,22960000.0
Tirupati,Chandragiri,Land,Residential,0,2024,23393000.0
Eluru,Chintalapudi Road,Residency,Residential,2,2024,23641000.0
Kakinada,Boat Club,Residency,Residential,1,2023,12440000.0
Vizianagaram,Dharmapuri,Land,Agricultural,0,2021,6370000.0
Kadapa,Akkayapalli,Residency,Residential,1,2015,6113000.0
Rajahmundry,Morampudi,Residency,Residential,2,2023,28031000.0
Kurnool,Panyam,Residency,Residential,4,2017,32960000.0
Kurnool,Kallur,Residency,Residential,4,2017,25617000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2022,6904000.0
Vijayawada,Patamata,Land,Agricultural,0,2015,5428000.0
Kadapa,Kadapa City,Residency,Residential,4,2019,15286000.0
Kakinada,Sarpavaram,Residency,Residential,5,2019,30957000.0
Kadapa,Kadapa City,Land,Agricultural,0,2023,4856000.0
Visakhapatnam,Pendurthi,Land,Commercial,0,2021,10082000.0
Rajahmundry,Bommuru,Residency,Residential,3,2023,32579000.0
Kakinada,Boat Club,Land,Agricultural,0,2019,5568000.0
Anantapur,Gooty Road,Residency,Residential,2,2018,18146000.0
Kurnool,Panyam,Residency,Residential,2,2019,25884000.0
Visakhapatnam,Madhurawada,Residency,Residential,2,2022,7456000.0
Vijayawada,Enikepadu,Residency,Residential,3,2018,25197000.0
Kurnool,Abbas Nagar,Residency,Residential,3,2022,33328000.0
Nellore,Atmakur Bus Stand,Land,Agricultural,0,2017,6726000.0
Nellore,Atmakur Bus Stand,Residency,Residential,5,2020,34308000.0
Eluru,Kaikaluru Road,Residency,Residential,5,2017,31315000.0
Kadapa,Yerramukkapalli,Land,Agricultural,0,2015,2352000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,1,2022,20161000.0
Vijayawada,Kanuru,Land,Agricultural,0,2018,6739000.0
Visakhapatnam,Muralinagar,Land,Agricultural,0,2023,4546000.0
Vizianagaram,Simhachalam Road,Land,Commercial,0,2021,16918000.0
Rajahmundry,Innespeta,Residency,Residential,3,2024,35976000.0
Tirupati,TUDA Layout,Residency,Residential,5,2017,44587000.0
Kadapa,Chinna Chowk,Residency,Residential,2,2021,10438000.0
Kadapa,Mydukur Road,Land,Industrial,0,2023,10937000.0
Kadapa,Chinna Chowk,Residency,Residential,4,2015,11438000.0
Anantapur,GeorgePeta,Land,Industrial,0,2023,16441000.0
Visakhapatnam,Kurmannapalem,Land,Agricultural,0,2019,3220000.0
Nellore,Kovur,Land,Agricultural,0,2023,9781000.0
Vizianagaram,Vizianagaram City,Residency,Residential,4,2018,22780000.0
Visakhapatnam,Kurmannapalem,Land,Agricultural,0,2018,3219000.0
Vijayawada,Benz Circle,Land,Commercial,0,2018,15566000.0
Kakinada,Bhanugudi,Land,Agricultural,0,2020,6617000.0
Vijayawada,Penamaluru,Land,Commercial,0,2020,18578000.0
Eluru,Vatluru,Residency,Residential,3,2016,20715000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2019,5793000.0
Ongole,Santhapet,Land,Industrial,0,2021,10608000.0
Kadapa,Mydukur Road,Land,Industrial,0,2021,10237000.0
Kurnool,Nandyal Road,Residency,Residential,3,2020,23339000.0
Anantapur,Sai Nagar,Residency,Residential,3,2023,23998000.0
Kakinada,Indrapalem,Residency,Residential,5,2020,32683000.0
Rajahmundry,Morampudi,Residency,Residential,2,2019,22174000.0
Srikakulam,Balaga,Residency,Residential,5,2023,34770000.0
Ongole,Pernamitta,Residency,Residential,4,2017,13578000.0
Kakinada,Bhanugudi,Land,Residential,0,2019,10059000.0
Anantapur,Rudrampeta,Land,Residential,0,2015,7609000.0
Kakinada,NFCL Road,Residency,Residential,4,2022,32379000.0
Kakinada,Sambamurthy Nagar,Land,Agricultural,0,2021,6765000.0
Chittoor,Vellore Road,Land,Agricultural,0,2019,3245000.0
Vizianagaram,Nellimarla,Land,Industrial,0,2022,19502000.0
Srikakulam,Navabharat Junction,Land,Agricultural,0,2022,8199000.0
Visakhapatnam,Steel Plant,Residency,Residential,2,2024,12072000.0
Guntur,Brodipet,Land,Residential,0,2023,7138000.0
Kurnool,Venkataramana Colony,Land,Residential,0,2022,16427000.0
Chittoor,Gangadhara Nellore,Residency,Residential,1,2015,6152000.0
Nellore,Kovur,Land,Agricultural,0,2017,6430000.0
Kadapa,Akkayapalli,Residency,Residential,5,2017,15412000.0
Visakhapatnam,Steel Plant,Land,Industrial,0,2016,7022000.0
Srikakulam,Ponduru Road,Residency,Residential,2,2021,24753000.0
Anantapur,Anantapur City,Residency,Residential,4,2020,31469000.0
Srikakulam,Day and Night Junction,Land,Agricultural,0,2019,7734000.0
Kakinada,Jagannaickpur,Residency,Residential,4,2019,32008000.0
Kadapa,Nagarajupalli,Residency,Residential,5,2016,13928000.0
Eluru,Powerpet,Residency,Residential,4,2015,20321000.0
Srikakulam,Day and Night Junction,Residency,Residential,5,2021,36286000.0
Vizianagaram,Poolbagh,Land,Agricultural,0,2016,4783000.0
Srikakulam,Arasavilli,Residency,Residential,1,2020,12721000.0
Chittoor,Chittoor City,Land,Agricultural,0,2019,3448000.0
Kakinada,Turangi,Residency,Residential,1,2022,16863000.0
Rajahmundry,Korukonda Road,Residency,Residential,4,2018,30990000.0
Kakinada,Bhanugudi,Residency,Residential,4,2019,22887000.0
Visakhapatnam,Seethammadhara,Residency,Residential,5,2023,14992000.0
Chittoor,Palamaner Road,Residency,Residential,2,2015,6513000.0
Visakhapatnam,Rushikonda,Residency,Residential,1,2015,4802000.0
Kakinada,Kakinada Port,Land,Agricultural,0,2017,5969000.0
Kurnool,Abbas Nagar,Residency,Residential,5,2016,34643000.0
Srikakulam,Ponduru Road,Residency,Residential,5,2021,43615000.0
Rajahmundry,Diwancheruvu,Residency,Residential,2,2016,17474000.0
Ongole,Pelluru,Residency,Residential,4,2020,20430000.0
Eluru,Ashok Nagar,Land,Agricultural,0,2018,7019000.0
Vijayawada,Poranki,Land,Agricultural,0,2017,7756000.0
Kakinada,Ramanayyapeta,Land,Residential,0,2021,12584000.0
Guntur,Nallapadu,Residency,Residential,3,2024,19238000.0
Nellore,Kovur,Land,Agricultural,0,2024,10066000.0
Anantapur,GeorgePeta,Land,Industrial,0,2015,10243000.0
Rajahmundry,Korukonda Road,Land,Industrial,0,2019,19155000.0
Kurnool,Budhavarapeta,Residency,Residential,3,2019,24307000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,3,2022,22825000.0
Nellore,VRC Centre,Residency,Residential,5,2021,31442000.0
Vijayawada,Gollapudi,Residency,Residential,2,2019,21124000.0
Kurnool,C-Camp,Land,Commercial,0,2015,17466000.0
Nellore,Magunta Layout,Land,Residential,0,2024,12858000.0
Eluru,Ashok Nagar,Residency,Residential,4,2023,31592000.0
Ongole,Mangamuru Road,Land,Commercial,0,2018,8669000.0
Vizianagaram,Denkada,Land,Industrial,0,2020,16925000.0
Tirupati,Alipiri,Residency,Residential,3,2020,22811000.0
Rajahmundry,Kotipalli,Land,Industrial,0,2017,18769000.0
Visakhapatnam,Steel Plant,Residency,Residential,1,2024,8256000.0
Anantapur,Gooty Road,Land,Commercial,0,2015,14813000.0
Kadapa,Ravindra Nagar,Residency,Residential,1,2022,6527000.0
Vizianagaram,Vizianagaram City,Residency,Residential,1,2015,10649000.0
Rajahmundry,Prakash Nagar,Residency,Residential,5,2022,35941000.0
Kakinada,Boat Club,Residency,Residential,1,2015,8871000.0
Rajahmundry,Kotipalli,Land,Commercial,0,2015,20270000.0
Rajahmundry,Lalacheruvu,Land,Industrial,0,2022,19953000.0
Ongole,Mangamuru Road,Land,Commercial,0,2020,9778000.0
Vizianagaram,Nellimarla,Residency,Residential,5,2021,33865000.0
Rajahmundry,Kotipalli,Residency,Residential,3,2022,35468000.0
Kadapa,Ravindra Nagar,Land,Agricultural,0,2023,4045000.0
Vijayawada,Benz Circle,Land,Residential,0,2019,10193000.0
Kakinada,Sarpavaram,Land,Residential,0,2021,13384000.0
Visakhapatnam,Steel Plant,Residency,Residential,2,2021,10763000.0
Kadapa,Rayachoti Road,Residency,Residential,4,2024,19619000.0
Rajahmundry,Bommuru,Land,Commercial,0,2015,16813000.0
Vizianagaram,Dharmapuri,Land,Industrial,0,2023,15802000.0
Rajahmundry,Hukumpeta,Residency,Residential,3,2020,35007000.0
Ongole,Kurnool Road,Residency,Residential,2,2018,10495000.0
Visakhapatnam,MVP Colony,Residency,Residential,2,2017,6895000.0
Rajahmundry,Danavaipeta,Residency,Residential,2,2021,19796000.0
Guntur,Nallapadu,Residency,Residential,5,2023,24607000.0
Vijayawada,Enikepadu,Land,Commercial,0,2016,19302000.0
Kadapa,Rayachoti Road,Land,Residential,0,2016,5914000.0
Guntur,Inner Ring Road,Residency,Residential,5,2018,18591000.0
Vizianagaram,Nellimarla,Residency,Residential,4,2019,26341000.0
Visakhapatnam,Rushikonda,Land,Agricultural,0,2018,2990000.0
Kakinada,Turangi,Residency,Residential,5,2017,30967000.0
Kurnool,Venkataramana Colony,Residency,Residential,3,2020,26075000.0
Kurnool,Kodumur,Residency,Residential,2,2024,30371000.0
Nellore,Vedayapalem,Residency,Residential,3,2017,16197000.0
Kadapa,Kamalapuram,Residency,Residential,2,2016,10085000.0
Anantapur,Anantapur City,Residency,Residential,2,2022,24063000.0
Chittoor,Vellore Road,Residency,Residential,5,2020,14060000.0
Ongole,Santhapet,Residency,Residential,1,2019,7357000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,4,2022,25970000.0
Anantapur,Maruthi Nagar,Residency,Residential,3,2019,18589000.0
Tirupati,Tiruchanoor Road,Residency,Residential,3,2016,20784000.0
Kakinada,NFCL Road,Land,Residential,0,2015,10160000.0
Vijayawada,Bhavanipuram,Land,Residential,0,2021,15397000.0
Vizianagaram,Bondapalli,Land,Commercial,0,2017,15159000.0
Tirupati,MR Palli,Residency,Residential,4,2022,37218000.0
Kurnool,Kurnool City,Land,Industrial,0,2019,20412000.0
Srikakulam,Srikakulam City,Residency,Residential,4,2024,32982000.0
Nellore,Mini Bypass,Residency,Residential,5,2016,25611000.0
Ongole,Pelluru,Residency,Residential,2,2022,15349000.0
Srikakulam,Ponduru Road,Residency,Residential,3,2019,28897000.0
Ongole,Koppolu,Land,Agricultural,0,2020,5916000.0
Nellore,Muthukur Road,Residency,Residential,1,2017,12560000.0
Kakinada,Turangi,Residency,Residential,1,2019,15083000.0
Nellore,VRC Centre,Land,Commercial,0,2021,19574000.0
Vijayawada,Kanuru,Residency,Residential,4,2021,26927000.0
Guntur,Inner Ring Road,Land,Commercial,0,2022,13370000.0
Vijayawada,Poranki,Land,Residential,0,2021,15713000.0
Tirupati,Karakambadi,Land,Industrial,0,2020,22883000.0
Vijayawada,Gannavaram,Residency,Residential,5,2017,37037000.0
Chittoor,Greamspet,Land,Industrial,0,2024,7525000.0
Guntur,Syamala Nagar,Residency,Residential,1,2020,8514000.0
Chittoor,Murakambattu,Land,Agricultural,0,2015,2256000.0
Srikakulam,Gujarathipeta,Land,Residential,0,2018,10453000.0
Ongole,Pernamitta,Land,Residential,0,2019,6429000.0
Kurnool,Venkataramana Colony,Land,Residential,0,2020,14177000.0
Anantapur,Kalyandurg Road,Land,Residential,0,2022,16148000.0
Guntur,Nallapadu,Residency,Residential,4,2024,22706000.0
Nellore,Magunta Layout,Residency,Residential,2,2018,14100000.0
Ongole,Mangamuru Road,Residency,Residential,5,2023,19974000.0
Guntur,Syamala Nagar,Residency,Residential,2,2022,13036000.0
Visakhapatnam,Steel Plant,Land,Agricultural,0,2020,4160000.0
Rajahmundry,Korukonda Road,Land,Residential,0,2021,16077000.0
Anantapur,GeorgePeta,Land,Residential,0,2018,9376000.0
Eluru,Sanivarapupeta,Residency,Residential,4,2022,30159000.0
Anantapur,Housing Board,Land,Residential,0,2020,11480000.0
Kakinada,Bhanugudi,Land,Residential,0,2022,12213000.0
Visakhapatnam,Gajuwaka,Residency,Residential,3,2024,10517000.0
Vijayawada,Kanuru,Land,Residential,0,2016,10023000.0
Nellore,Balaji Nagar,Residency,Residential,3,2024,25824000.0
Kurnool,C-Camp,Land,Commercial,0,2021,26064000.0
Visakhapatnam,Madhurawada,Land,Agricultural,0,2019,2744000.0
Visakhapatnam,Madhurawada,Land,Residential,0,2017,3936000.0
Srikakulam,Amadalavalasa Road,Land,Industrial,0,2020,19044000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,2,2023,9207000.0
Guntur,Amaravathi Road,Land,Residential,0,2022,7085000.0
Srikakulam,Day and Night Junction,Residency,Residential,2,2022,22385000.0
Kadapa,Akkayapalli,Residency,Residential,1,2020,7567000.0
Kadapa,Akkayapalli,Residency,Residential,2,2022,11008000.0
Vizianagaram,Simhachalam Road,Residency,Residential,5,2016,23727000.0
Chittoor,Gangadhara Nellore,Residency,Residential,2,2024,11529000.0
Kurnool,C-Camp,Residency,Residential,1,2022,18317000.0
Vizianagaram,Pusapatirega,Residency,Residential,4,2022,33040000.0
Kadapa,Yerramukkapalli,Land,Industrial,0,2022,7720000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,5,2019,26483000.0
Vijayawada,Bhavanipuram,Residency,Residential,1,2020,14759000.0
Vizianagaram,Dharmapuri,Land,Commercial,0,2023,17647000.0
Chittoor,Puttur Road,Land,Industrial,0,2022,8890000.0
Rajahmundry,Kotipalli,Land,Agricultural,0,2017,8869000.0
Ongole,Bhagya Nagar,Land,Residential,0,2018,7646000.0
Visakhapatnam,Kurmannapalem,Residency,Residential,1,2015,5277000.0
Kakinada,Jagannaickpur,Land,Agricultural,0,2017,7064000.0
Kakinada,NFCL Road,Residency,Residential,2,2016,18081000.0
Tirupati,TUDA Layout,Residency,Residential,1,2024,23767000.0
Vizianagaram,Poolbagh,Land,Residential,0,2015,7002000.0
Kakinada,Sambamurthy Nagar,Land,Industrial,0,2017,12335000.0
Nellore,Magunta Layout,Residency,Residential,1,2024,12879000.0
Tirupati,Padmavathi Puram,Land,Agricultural,0,2016,7297000.0
Kadapa,Yerramukkapalli,Land,Agricultural,0,2019,3107000.0
Guntur,Brodipet,Residency,Residential,4,2020,13707000.0
Vizianagaram,Simhachalam Road,Residency,Residential,3,2017,18267000.0
Rajahmundry,Diwancheruvu,Land,Industrial,0,2018,17542000.0
Kakinada,Bhanugudi,Land,Residential,0,2017,9027000.0
Eluru,Powerpet,Land,Agricultural,0,2024,8901000.0
Ongole,Pelluru,Residency,Residential,3,2024,19500000.0
Kakinada,Indrapalem,Land,Industrial,0,2016,12495000.0
Nellore,VRC Centre,Land,Residential,0,2022,13209000.0
Chittoor,Vellore Road,Land,Residential,0,2015,4144000.0
Kurnool,Nandyal Road,Land,Residential,0,2017,10261000.0
Anantapur,Bukkarayasamudram,Land,Agricultural,0,2023,9086000.0
Ongole,Bhagya Nagar,Residency,Residential,2,2021,13564000.0
Srikakulam,Navabharat Junction,Residency,Residential,1,2017,12851000.0
Ongole,Mangamuru Road,Residency,Residential,2,2021,9988000.0
Guntur,Arundalpet,Land,Commercial,0,2018,8342000.0
Kakinada,Turangi,Residency,Residential,5,2019,32257000.0
Kurnool,C-Camp,Land,Residential,0,2021,16605000.0
Nellore,Vedayapalem,Land,Residential,0,2020,10059000.0
Kurnool,Nandyal Road,Residency,Residential,2,2018,17097000.0
Anantapur,Sai Nagar,Residency,Residential,2,2017,15401000.0
Eluru,Sanivarapupeta,Residency,Residential,3,2016,19310000.0
Guntur,Brodipet,Residency,Residential,1,2022,6768000.0
Rajahmundry,Lalacheruvu,Residency,Residential,5,2022,39465000.0
Rajahmundry,Korukonda Road,Residency,Residential,5,2021,44024000.0
Kadapa,Nagarajupalli,Residency,Residential,1,2019,6677000.0
Guntur,Arundalpet,Land,Industrial,0,2024,9933000.0
Ongole,Koppolu,Residency,Residential,2,2018,13012000.0
Kadapa,Kamalapuram,Land,Commercial,0,2021,12167000.0
Kadapa,Rayachoti Road,Land,Agricultural,0,2019,4502000.0
Kakinada,Bhanugudi,Residency,Residential,1,2015,9820000.0
Kakinada,Sarpavaram,Land,Residential,0,2024,17117000.0
Ongole,Sujatha Nagar,Land,Agricultural,0,2018,4983000.0
Vijayawada,Enikepadu,Residency,Residential,5,2018,38820000.0
Nellore,Podalakur Road,Residency,Residential,1,2019,11120000.0
Anantapur,Gooty Road,Land,Commercial,0,2023,24911000.0
Anantapur,Anantapur City,Land,Residential,0,2017,12420000.0
Anantapur,Rapthadu Road,Residency,Residential,4,2021,29185000.0
Vizianagaram,Cantonment,Residency,Residential,3,2023,19716000.0
Chittoor,Bangarupalem,Land,Residential,0,2020,6161000.0
Kurnool,Budhavarapeta,Land,Commercial,0,2023,25955000.0
Eluru,Ashok Nagar,Land,Commercial,0,2020,18843000.0
Kakinada,Boat Club,Land,Residential,0,2015,7344000.0
Kurnool,Kallur,Residency,Residential,5,2016,29141000.0
Chittoor,Chittoor City,Residency,Residential,1,2020,6565000.0
Srikakulam,Ponduru Road,Land,Commercial,0,2023,29008000.0
Tirupati,Korlagunta,Residency,Residential,5,2015,34295000.0
Nellore,Ramalingapuram,Land,Industrial,0,2021,20518000.0
Srikakulam,Arasavilli,Land,Agricultural,0,2022,7743000.0
Srikakulam,Day and Night Junction,Land,Industrial,0,2021,18377000.0
Chittoor,Kongareddy Palle,Residency,Residential,5,2019,11576000.0
Vizianagaram,Simhachalam Road,Residency,Residential,4,2017,22050000.0
Srikakulam,Narasannapeta Road,Residency,Residential,5,2018,33596000.0
Visakhapatnam,Steel Plant,Land,Commercial,0,2017,8426000.0
Rajahmundry,Danavaipeta,Land,Agricultural,0,2019,7338000.0
Anantapur,Anantapur City,Residency,Residential,1,2018,14569000.0
Kakinada,Sarpavaram,Land,Residential,0,2023,15149000.0
Srikakulam,Palakonda Road,Land,Commercial,0,2018,21511000.0
Nellore,Mini Bypass,Residency,Residential,2,2021,17087000.0
Srikakulam,Navabharat Junction,Residency,Residential,3,2017,20336000.0
Guntur,Brodipet,Land,Commercial,0,2023,11071000.0
Eluru,Chintalapudi Road,Land,Industrial,0,2024,23612000.0
Eluru,Ramachandra Rao Peta,Land,Commercial,0,2020,24569000.0
Anantapur,Rapthadu Road,Land,Commercial,0,2015,15348000.0
Guntur,Nallapadu,Land,Residential,0,2015,6594000.0
Vijayawada,Bhavanipuram,Land,Agricultural,0,2020,8749000.0
Kakinada,Indrapalem,Land,Residential,0,2024,16528000.0
Vizianagaram,Cantonment,Land,Commercial,0,2024,18003000.0
Kakinada,Kakinada Port,Residency,Residential,5,2020,30817000.0
Ongole,Sujatha Nagar,Land,Industrial,0,2018,10097000.0
Anantapur,GeorgePeta,Residency,Residential,4,2023,23938000.0
Kadapa,Chinna Chowk,Land,Industrial,0,2024,10276000.0
Vizianagaram,Bondapalli,Land,Agricultural,0,2018,6630000.0
Kurnool,Kurnool City,Land,Commercial,0,2024,31935000.0
Visakhapatnam,Seethammadhara,Residency,Residential,1,2015,4550000.0
Nellore,Kovur,Land,Residential,0,2021,14425000.0
Kadapa,Mydukur Road,Residency,Residential,1,2024,9524000.0
Srikakulam,Palakonda Road,Land,Industrial,0,2020,20821000.0
Kakinada,Sarpavaram,Residency,Residential,5,2022,36464000.0
Guntur,Arundalpet,Residency,Residential,2,2016,7763000.0
Rajahmundry,Innespeta,Residency,Residential,1,2023,21172000.0
Tirupati,Korlagunta,Residency,Residential,2,2018,21526000.0
Anantapur,Rudrampeta,Residency,Residential,4,2018,22562000.0
Kurnool,C-Camp,Land,Industrial,0,2018,17934000.0
Guntur,Nallapadu,Land,Agricultural,0,2019,4771000.0
Vizianagaram,Vizianagaram City,Land,Agricultural,0,2019,6504000.0
Nellore,Magunta Layout,Land,Industrial,0,2021,13598000.0
Guntur,Amaravathi Road,Residency,Residential,2,2022,10818000.0
Nellore,Podalakur Road,Residency,Residential,5,2020,27882000.0
Chittoor,Bangarupalem,Residency,Residential,1,2018,6403000.0
Ongole,Ongole City,Residency,Residential,2,2018,10834000.0
Rajahmundry,Diwancheruvu,Land,Agricultural,0,2015,6587000.0
Ongole,Sujatha Nagar,Residency,Residential,2,2017,11136000.0
Kadapa,Kadapa City,Land,Commercial,0,2019,10383000.0
Visakhapatnam,Seethammadhara,Residency,Residential,1,2023,6039000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,4,2015,26271000.0
Kakinada,Kakinada Port,Residency,Residential,1,2024,15163000.0
Rajahmundry,Hukumpeta,Residency,Residential,2,2024,30821000.0
Visakhapatnam,Gajuwaka,Residency,Residential,1,2022,5693000.0
Kadapa,Yerramukkapalli,Residency,Residential,1,2020,5744000.0
Tirupati,TUDA Layout,Residency,Residential,3,2017,30704000.0
Chittoor,Chittoor City,Residency,Residential,3,2015,8471000.0
Kadapa,Kadapa City,Residency,Residential,3,2024,14598000.0
Eluru,Vatluru,Land,Agricultural,0,2020,8102000.0
Anantapur,Housing Board,Land,Industrial,0,2016,12281000.0
Srikakulam,Palakonda Road,Land,Industrial,0,2019,18126000.0
Eluru,Chintalapudi Road,Residency,Residential,2,2018,20231000.0
Chittoor,Greamspet,Residency,Residential,5,2015,9418000.0
Visakhapatnam,Muralinagar,Residency,Residential,4,2022,13799000.0
Vizianagaram,Dharmapuri,Residency,Residential,3,2021,18443000.0
Rajahmundry,Danavaipeta,Land,Residential,0,2017,10508000.0
Guntur,Nallapadu,Residency,Residential,2,2022,14066000.0
Ongole,Bhagya Nagar,Residency,Residential,2,2024,14987000.0
Visakhapatnam,Anakapalle,Land,Industrial,0,2023,10310000.0
Vijayawada,Penamaluru,Land,Agricultural,0,2017,6685000.0
Vizianagaram,Pusapatirega,Land,Residential,0,2018,12313000.0
Kakinada,Sarpavaram,Land,Agricultural,0,2021,8428000.0
Ongole,Pelluru,Residency,Residential,3,2022,18741000.0
Anantapur,Rapthadu Road,Land,Residential,0,2018,11206000.0
Kadapa,Mydukur Road,Land,Agricultural,0,2016,3423000.0
Vijayawada,Bhavanipuram,Residency,Residential,5,2019,35651000.0
Vijayawada,Patamata,Residency,Residential,4,2017,23380000.0
Kurnool,Venkataramana Colony,Residency,Residential,2,2015,16974000.0
Tirupati,Padmavathi Puram,Land,Industrial,0,2016,14882000.0
Srikakulam,Narasannapeta Road,Residency,Residential,4,2018,29799000.0
Ongole,Ongole City,Land,Residential,0,2019,8211000.0
Nellore,Kovur,Land,Agricultural,0,2024,9640000.0
Vijayawada,Penamaluru,Residency,Residential,2,2018,18232000.0
Nellore,Podalakur Road,Residency,Residential,2,2016,14157000.0
Guntur,Inner Ring Road,Land,Agricultural,0,2018,4283000.0
Ongole,Santhapet,Residency,Residential,4,2022,17349000.0
Chittoor,Gangadhara Nellore,Residency,Residential,1,2019,6981000.0
Kakinada,Boat Club,Residency,Residential,2,2018,13488000.0
Rajahmundry,Danavaipeta,Land,Residential,0,2020,12570000.0
Srikakulam,Ponduru Road,Land,Residential,0,2018,13936000.0
Eluru,Chintalapudi Road,Residency,Residential,3,2018,25308000.0
Kadapa,Chinna Chowk,Land,Commercial,0,2023,11469000.0
Rajahmundry,Danavaipeta,Residency,Residential,2,2022,19236000.0
Guntur,Arundalpet,Residency,Residential,4,2018,12560000.0
Vijayawada,Penamaluru,Land,Residential,0,2019,12736000.0
Anantapur,Rudrampeta,Residency,Residential,3,2021,21009000.0
Kakinada,Jagannaickpur,Land,Agricultural,0,2020,8535000.0
Guntur,Brodipet,Residency,Residential,2,2019,8466000.0
Eluru,Sanivarapupeta,Residency,Residential,4,2022,29746000.0
Kurnool,C-Camp,Residency,Residential,3,2021,29172000.0
Chittoor,Bangarupalem,Residency,Residential,5,2022,17531000.0
Guntur,Tenali Road,Land,Commercial,0,2022,12612000.0
Vijayawada,Gunadala,Land,Agricultural,0,2018,7208000.0
Kakinada,Sambamurthy Nagar,Land,Agricultural,0,2023,8313000.0
Rajahmundry,Danavaipeta,Land,Commercial,0,2020,18486000.0
Anantapur,Gooty Road,Land,Residential,0,2021,14691000.0
Ongole,Bhagya Nagar,Land,Residential,0,2018,7627000.0
Nellore,Ramalingapuram,Land,Residential,0,2016,11225000.0
Vijayawada,Gunadala,Land,Industrial,0,2015,12516000.0
Srikakulam,Navabharat Junction,Residency,Residential,1,2022,15740000.0
Eluru,Sanivarapupeta,Residency,Residential,4,2020,25406000.0
Anantapur,Gooty Road,Land,Commercial,0,2018,17639000.0
Tirupati,Karakambadi,Land,Agricultural,0,2021,10960000.0
Visakhapatnam,Madhurawada,Land,Industrial,0,2016,5045000.0
Nellore,Atmakur Bus Stand,Land,Industrial,0,2024,22164000.0
Nellore,Mini Bypass,Residency,Residential,4,2019,23947000.0
Tirupati,Chandragiri,Residency,Residential,1,2022,21105000.0
Vizianagaram,Dharmapuri,Residency,Residential,1,2020,11544000.0
Kurnool,Kodumur,Land,Industrial,0,2021,26520000.0
Kadapa,Mydukur Road,Residency,Residential,4,2024,18917000.0
Guntur,Inner Ring Road,Land,Commercial,0,2018,10090000.0
Anantapur,Housing Board,Residency,Residential,1,2019,12579000.0
Kadapa,Rayachoti Road,Residency,Residential,1,2019,8339000.0
Nellore,Muthukur Road,Residency,Residential,2,2024,23422000.0
Kadapa,Ravindra Nagar,Land,Agricultural,0,2018,3134000.0
Rajahmundry,Lalacheruvu,Residency,Residential,1,2022,16242000.0
